2021-05-20 7:12:26 - PHP Notice:  Undefined variable: error_warning in C:\wamp64\www\opencart_v1.5.2.1\admin\view\template\catalog\product_bulk_import.tpl on line 8
2021-05-20 7:12:26 - PHP Notice:  Undefined variable: success in C:\wamp64\www\opencart_v1.5.2.1\admin\view\template\catalog\product_bulk_import.tpl on line 11
2021-05-20 7:12:26 - PHP Notice:  Undefined variable: heading_title in C:\wamp64\www\opencart_v1.5.2.1\admin\view\template\catalog\product_bulk_import.tpl on line 17
2021-05-20 7:12:26 - PHP Notice:  Undefined variable: insert in C:\wamp64\www\opencart_v1.5.2.1\admin\view\template\catalog\product_bulk_import.tpl on line 18
2021-05-20 7:12:26 - PHP Notice:  Undefined variable: button_insert in C:\wamp64\www\opencart_v1.5.2.1\admin\view\template\catalog\product_bulk_import.tpl on line 18
2021-05-20 7:12:26 - PHP Notice:  Undefined variable: copy in C:\wamp64\www\opencart_v1.5.2.1\admin\view\template\catalog\product_bulk_import.tpl on line 18
2021-05-20 7:12:26 - PHP Notice:  Undefined variable: button_copy in C:\wamp64\www\opencart_v1.5.2.1\admin\view\template\catalog\product_bulk_import.tpl on line 18
2021-05-20 7:12:26 - PHP Notice:  Undefined variable: button_delete in C:\wamp64\www\opencart_v1.5.2.1\admin\view\template\catalog\product_bulk_import.tpl on line 18
2021-05-20 7:12:26 - PHP Notice:  Undefined variable: delete in C:\wamp64\www\opencart_v1.5.2.1\admin\view\template\catalog\product_bulk_import.tpl on line 21
2021-05-20 7:12:26 - PHP Notice:  Undefined variable: column_image in C:\wamp64\www\opencart_v1.5.2.1\admin\view\template\catalog\product_bulk_import.tpl on line 26
2021-05-20 7:12:26 - PHP Notice:  Undefined variable: sort in C:\wamp64\www\opencart_v1.5.2.1\admin\view\template\catalog\product_bulk_import.tpl on line 27
2021-05-20 7:12:26 - PHP Notice:  Undefined variable: sort_name in C:\wamp64\www\opencart_v1.5.2.1\admin\view\template\catalog\product_bulk_import.tpl on line 30
2021-05-20 7:12:26 - PHP Notice:  Undefined variable: column_name in C:\wamp64\www\opencart_v1.5.2.1\admin\view\template\catalog\product_bulk_import.tpl on line 30
